调研地,村名,村落光伏发展指数,分组,if_exp_unit,村内常住人口总数,是否为贫困村,村人均收入,领取低保补助人数,教育结构,性别结构,年龄结构,是否对光伏政策进行了推广普及,村干部是否包含大学生村官或选调生,全村每年电力消耗,村内电价,村内家庭用电所占比例,是否出现过电力负荷过高,村内是否有除光伏外的其他新能源建设
河北-沧州市-肃宁县,西泊庄村,0.544492199,2,1,167,0,10000,3,0.1,0.4,0.4,1,1,-1,0.45,0.9,0,1
海南-万宁市,厚皮树村,0.813259386,4,1,136,0,10000,0,0.11,0.7,0.27,1,0,48667,0.6,-0.01,0,0
海南-三亚市-天涯区,海南省三亚市育才生态区抱安村委会南来苗村,0.271086462,4,1,230,1,30000,1,0.2,0.5,0.25,0,0,10000,0.68,0.95,0,1
海南-三亚市-天涯区,立才农场 那会村,2.253267096,4,1,1191,1,20000,20,0.39,0.5,0.35,1,0,-1,0.6,0.62,1,1
海南-陵水黎族自治县,大坡村,0.311857766,4,0,3500,0,20000,9,-0.02,0.5,-0.01,0,0,-1,0.61,1.0,0,0
海南-乐东黎族自治县,十所村,0.542172924,4,1,3860,0,45000,125,0.65,0.5,0.25,0,1,-1,0.64,0.9,0,1
海南-海口市-龙华区,永乐村,0.001911254,4,0,281,0,5780,24,0.063,0.75,0.26,0,1,11080,0.66,-0.01,0,1
海南-儋州市,沙田队,0.0,4,0,400,0,7500,3,0.1,0.7,0.2,0,1,90000,0.7,0.95,0,0
海南-儋州市,藤根村,0.0,4,0,34,0,3500,0,0.22,0.6,0.36,0,0,172800,0.683,0.95,0,1
海南-澄迈县,大场村,0.813259386,4,1,3999,0,-1,0,-0.02,-0.01,-0.01,1,0,-1,0.68,0.6,0,0
贵州-遵义市-绥阳县,中坪村,1.107591919,7,0,2430,1,8600,210,0.2078,0.55,0.0165,0,0,150000,0.45,0.98,0,0
贵州-遵义市-仁怀市,立岩村,1.39882708,7,0,1800,1,14000,489,0.4,0.6,0.3,1,0,600000,0.45,0.8,1,0
贵州-遵义市-汇川区,黄泥村,0.271086462,7,0,3000,0,12000,11,0.3,0.55,0.25,0,1,1800000,0.45,0.6,0,1
贵州-铜仁市-思南县,张湾村,0.271086462,7,0,350,1,11000,32,0.06,0.5,0.0987,0,0,240000,0.45,0.7,0,1
贵州-黔西南布依族苗族自治州-兴义市,巴布村,0.271086462,7,1,120,0,3500,12,0.2,0.5,0.25,0,1,4000,0.45,0.9,0,0
贵州-毕节市,红岩村,1.658771183,7,0,766,1,25000,1840,0.14,0.55,0.21,1,1,16000000,0.5,0.5,1,1
广西-柳州市-融安县,沙子村,0.271086462,4,0,1300,1,8000,48,0.5,0.6,0.11,0,1,450000,0.6,0.8,0,1
广东-中山市,城市—南头镇 南城社区,1.669814108,4,1,22000,0,-1,-1,-0.02,-0.01,-0.01,0,1,-1,0.6,-0.01,0,0
广东-汕头市-南澳县,羊屿村,2.212086466,4,0,1000,1,20000,25,0.3,0.6,0.1,1,0,3500,0.6,0.7,1,1
广东-惠州市-惠阳区,张新村,0.585567694,4,1,1800,0,17500,26,0.25,0.6,0.25,0,1,-1,0.63,0.9,1,0
甘肃-白银市-会宁县,柴门村,1.897605234,6,1,10,1,60000,25,0.2,0.5,0.1,1,0,60000,0.5,0.7,1,1
福建-厦门市-翔安区,赵厝村及东园村,1.938431413,3,1,4000,0,10000,500,0.95,0.6,0.5,0,1,4500,0.8,0.7,0,0
福建-三明市-三元区,群二社区,0.271139938,3,0,9004,0,12000,8,0.4,0.6,0.3,0,0,720000,0.4983,0.7,0,1
福建-龙岩市-新罗区,朝前村,0.000639057,3,0,920,0,30000,8,0.2,0.45,0.3,0,0,5200000,0.5,0.9,0,0
福建-福州市-闽侯县,关口村,1.084345848,3,1,12200,0,50000,35,0.9,0.5,0.3,0,1,3600000,0.7,0.7,1,1
北京-北京市-门头沟区,南港村,0.0,2,1,120,0,20000,3,0.2,0.4,0.02,0,0,-1,0.488,1.0,1,0
